title,num_rooms,num_bedrooms,type_of_good,total_area,total_land_area,condition,latitude,longitude,city,region,features,url,price,Antenne parabolique,Ascenseur,Chambre rangement,Chauffage central,Cheminée,Climatisation,Concierge,Cuisine équipée,Double vitrage,Entre-seul,Four,Garage,Jardin,Machine à laver,Meublé,Micro-ondes,Piscine,Porte blindée,Réfrigérateur,Salon européen,Sécurité,Terrasse,Vue sur les montagnes,Vue sur mer
A vendre à Hammamet une villa S5 de 380 m²,6,5,Villa,900,,Bon état,36.40108,10.61457,Hammamet,Hammamet,Jardin;Terrasse;Piscine,https://www.mubawab.tn/fr/a/7657490/a-vendre-%C3%A0-hammamet-une-villa-s5-de-380-m%C2%B2,999000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
Villa à Ben Arous,6,5,Villa,416,,Bon état,36.77228,10.22122,Ben Arous,Ben Arous,Jardin;Terrasse;Garage;Chambre rangement;Entre-seul,https://www.mubawab.tn/fr/a/8075822/villa-%C3%A0-ben-arous,670000,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False
Villa à vendre à Hammamet Anis,5,4,Villa,202,,Nouveau,36.40108,10.61457,Hammamet,Hammamet,Piscine;Climatisation;Chauffage central;Sécurité;Cuisine équipée;Four;Micro-ondes,https://www.mubawab.tn/fr/a/8066680/villa-%C3%A0-vendre-%C3%A0-hammamet-anis,670000,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False
Villa vente à la marsa route du relais,8,7,Maison,530,800.0,Bon état,36.876389,10.325278,Cité El Hana,La Marsa,Jardin;Terrasse;Garage;Piscine;Meublé;Salon européen;Climatisation;Chauffage central;Porte blindée;Cuisine équipée,https://www.mubawab.tn/fr/a/8076499/villa-vente-%C3%A0-la-marsa-route-du-relais,1800000,False,False,False,True,False,True,False,True,False,False,False,True,True,False,True,False,True,True,False,True,False,True,False,False
Petite Villa Inachevée,12,9,Villa,468,,Nouveau,35.8569,10.5972,Hammam Sousse,Hammam Sousse,Jardin;Garage,https://www.mubawab.tn/fr/a/7877037/petite-villa-inachev%C3%A9e,720000,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
Villa de luxe et 2 studios à vendre à Kélibia,11,9,Villa,750,,Bon état,36.8493,11.0918,Kélibia,,Jardin;Terrasse;Garage,https://www.mubawab.tn/fr/a/8060048/villa-de-luxe-et-2-studios-%C3%A0-vendre-%C3%A0-k%C3%A9libia,1200000,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
2 Appartements à vendre à Hamem El Ghzez,8,6,Maison,280,,Nouveau,36.930637,11.048549,Hammam El Ghezaz,,Jardin;Terrasse;Vue sur mer;Vue sur les montagnes,https://www.mubawab.tn/fr/a/8060221/2-appartements-%C3%A0-vendre-%C3%A0-hamem-el-ghzez,620000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True
Vente Villa Glamorous S3 Hammamet centre,4,3,Villa,250,,Bon état,36.40108,10.61457,Hammamet,Hammamet,Jardin;Piscine;Climatisation;Chauffage central;Cuisine équipée,https://www.mubawab.tn/fr/a/7964710/vente-villa-glamorous-s3-hammamet-centre,750000,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
Opportunité d'investissement à Nabeul,6,4,Villa,400,30000.0,Bon état,36.6814,10.5849,Menzel Bouzelfa,,Jardin,https://www.mubawab.tn/fr/a/8066715/opportunit%C3%A9-d-investissement-%C3%A0-nabeul,850000,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
À vendre Éblouissante Villa à Mutuelleville,,4,Villa,350,,,36.845235,10.164723,El Menzah,,Garage;Concierge;Cuisine équipée,https://www.mubawab.tn/fr/a/8055001/%C3%A0-vendre-%C3%A9blouissante-villa-%C3%A0-mutuelleville,1500000,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
